id_estudiante,transcripcion_limpia,claridad,argumentacion,originalidad,promedio_final
20241234,contenido estructura opinión inteligencia,17,12,20,16
20241235,comunicación pensamiento estructura contenido,12,18,16,15
20241236,expresión comunicación argumentación inteligencia,10,13,17,13
20241237,comunicación inteligencia contenido opinión,18,15,20,18
20241238,comunicación claridad argumentación estructura,17,18,14,16
20241239,contenido emocional estructura opinión,10,12,10,11
20241240,estructura contenido emocional inteligencia,17,20,18,18
20241241,claridad estructura comunicación argumentación,10,15,20,15
20241242,expresión opinión pensamiento comunicación,11,15,20,15
20241243,pensamiento comunicación argumentación inteligencia,12,13,10,12
20241244,expresión contenido estructura emocional,17,12,20,16
20241245,estructura comunicación opinión pensamiento,13,16,14,14
20241246,expresión estructura inteligencia emocional,16,13,13,14
20241247,comunicación expresión opinión claridad,13,16,16,15
20241248,emocional inteligencia claridad expresión,18,13,18,16
20241249,opinión inteligencia claridad comunicación,20,12,10,14
20241250,pensamiento opinión inteligencia argumentación,20,10,19,16
20241251,contenido claridad opinión inteligencia,13,17,20,17
20241252,comunicación opinión inteligencia expresión,13,17,17,16
20241253,opinión expresión inteligencia emocional,16,12,17,15
20241254,inteligencia claridad argumentación emocional,20,17,16,18
20241255,comunicación emocional estructura expresión,10,18,16,15
20241256,contenido opinión comunicación argumentación,19,14,16,16
20241257,inteligencia claridad comunicación emocional,10,19,10,13
20241258,claridad opinión argumentación pensamiento,17,14,12,14
20241259,contenido pensamiento argumentación opinión,15,14,11,13
20241260,contenido pensamiento argumentación claridad,14,11,10,12
20241261,argumentación contenido comunicación expresión,13,19,14,15
20241262,pensamiento comunicación argumentación estructura,17,18,17,17
20241263,inteligencia opinión estructura pensamiento,20,13,13,15
20241264,claridad estructura expresión inteligencia,19,19,13,17
20241265,claridad expresión estructura pensamiento,20,19,10,16
20241266,opinión argumentación comunicación pensamiento,16,19,20,18
20241267,pensamiento contenido emocional claridad,13,17,13,14
20241268,inteligencia expresión pensamiento argumentación,14,20,17,17
20241269,expresión inteligencia emocional argumentación,15,18,12,15
20241270,expresión pensamiento emocional estructura,18,15,11,15
20241271,claridad expresión emocional contenido,17,15,15,16
20241272,emocional estructura pensamiento inteligencia,16,12,16,15
20241273,emocional pensamiento expresión inteligencia,16,10,20,15
